User_ID,Course_Completed_Percentage,Daily_Practice_Problems_Solved,Weekly_Assessment_Score,Mentor_Support_Used,Refund_Eligible,Hours_Spent_Weekly,Total_Quizzes_Attempted,Final_Project_Completed,Participation_In_Community,Payment_Amount
U001,72,0,88,Yes,No,9,8,Yes,Yes,1999
U002,27,6,55,Yes,No,8,19,No,Yes,1999
U003,98,8,92,No,Yes,10,17,Yes,No,1999
U004,53,7,76,Yes,No,36,14,No,Yes,3999
U005,43,4,58,Yes,No,34,7,Yes,Yes,2999
U006,83,2,86,Yes,No,39,14,Yes,Yes,4999
U007,71,7,82,Yes,No,20,5,Yes,No,3999
U008,23,5,91,No,No,17,12,Yes,No,1999
U009,98,8,96,Yes,Yes,34,19,No,Yes,1999
U010,24,0,73,Yes,No,23,17,No,Yes,1999
U011,81,2,64,Yes,No,21,8,No,No,1999
U012,87,4,81,No,No,23,12,Yes,Yes,4999
U013,96,2,81,Yes,Yes,32,11,Yes,No,1999
U014,71,0,73,No,No,30,6,No,No,2999
U015,49,4,90,Yes,No,30,5,No,Yes,2999
U016,94,9,98,No,Yes,27,16,No,Yes,2999
U017,93,9,93,Yes,Yes,13,16,Yes,No,3999
U018,91,6,61,Yes,Yes,16,8,Yes,Yes,1999
U019,62,8,88,Yes,No,5,12,No,Yes,4999
U020,33,9,51,No,No,5,16,Yes,No,2999
U021,35,9,52,No,No,38,6,No,No,3999
U022,98,2,98,Yes,Yes,36,7,No,No,1999
U023,69,6,86,No,No,29,16,Yes,No,2999
U024,50,0,98,No,No,5,5,No,Yes,3999
U025,38,3,66,Yes,No,20,5,No,Yes,1999
U026,24,3,98,Yes,No,9,17,Yes,No,2999
U027,54,4,51,Yes,No,26,7,No,Yes,2999
U028,95,8,95,Yes,Yes,33,19,Yes,Yes,3999
U029,96,8,91,No,Yes,7,18,No,No,1999
U030,80,3,72,No,No,16,16,Yes,Yes,2999
U031,18,6,86,No,No,30,7,No,Yes,2999
U032,97,2,81,Yes,Yes,20,5,Yes,Yes,2999
U033,10,5,82,Yes,No,26,5,Yes,Yes,4999
U034,96,9,93,No,Yes,33,18,No,Yes,2999
U035,97,9,68,No,Yes,18,14,Yes,Yes,3999
U036,72,8,51,No,No,32,15,Yes,Yes,1999
U037,20,4,93,No,No,9,16,No,No,2999
U038,90,5,75,No,Yes,34,17,No,No,1999
U039,17,3,81,Yes,No,9,17,Yes,Yes,3999
U040,44,9,55,Yes,No,16,16,Yes,No,3999
U041,44,6,81,No,No,20,19,Yes,Yes,1999
U042,42,8,53,No,No,30,18,Yes,Yes,2999
U043,14,6,60,Yes,No,30,6,Yes,No,4999
U044,50,0,66,Yes,No,25,17,Yes,Yes,1999
U045,37,0,87,No,No,37,7,No,No,3999
U046,16,8,73,Yes,No,34,6,No,Yes,4999
U047,82,8,54,Yes,No,27,7,No,No,4999
U048,99,8,95,Yes,Yes,14,16,Yes,Yes,1999
U049,92,8,93,No,Yes,9,18,Yes,No,3999
U050,43,2,71,No,No,38,14,Yes,Yes,2999
U051,10,1,77,No,No,14,19,No,Yes,1999
U052,30,5,91,Yes,No,37,13,Yes,No,3999
U053,64,1,71,No,No,17,9,Yes,Yes,4999
U054,15,1,70,Yes,No,35,13,Yes,Yes,3999
U055,90,1,55,Yes,Yes,28,14,No,No,1999
U056,78,2,50,Yes,No,19,8,Yes,Yes,4999
U057,99,8,93,No,Yes,33,16,Yes,Yes,4999
U058,95,8,99,Yes,Yes,12,19,Yes,Yes,2999
U059,91,8,91,Yes,Yes,9,15,No,Yes,4999
U060,32,5,75,No,Yes,33,13,Yes,Yes,2999
U061,62,0,95,Yes,No,8,7,No,Yes,1999
U062,46,7,83,Yes,No,16,19,Yes,Yes,2999
U063,83,6,98,Yes,No,6,8,Yes,No,2999
U064,83,9,63,Yes,No,31,13,Yes,No,1999
U065,92,2,75,Yes,Yes,35,14,Yes,Yes,2999
U066,26,0,94,Yes,No,30,15,Yes,Yes,1999
U067,94,9,99,No,Yes,31,18,Yes,Yes,2999
U068,87,3,58,Yes,Yes,9,6,No,Yes,2999
U069,82,9,75,Yes,No,24,11,Yes,Yes,4999
U070,10,7,96,No,Yes,15,6,Yes,No,3999
U071,60,0,71,Yes,Yes,14,15,Yes,Yes,1999
U072,54,9,96,Yes,No,10,6,Yes,Yes,4999
U073,99,8,96,Yes,Yes,12,19,Yes,Yes,2999
U074,93,9,97,Yes,Yes,27,17,Yes,Yes,1999
U075,71,7,97,Yes,No,30,15,Yes,No,3999
U076,74,4,66,No,Yes,16,15,No,No,3999
U077,99,8,95,No,Yes,30,16,No,Yes,2999
U078,43,5,85,Yes,Yes,17,15,Yes,No,3999
U079,97,8,94,Yes,Yes,22,19,Yes,Yes,2999
U080,48,1,57,Yes,Yes,29,10,Yes,No,2999
U081,90,8,92,No,Yes,37,17,Yes,No,1999
U082,43,8,84,Yes,No,16,13,Yes,Yes,2999
U083,63,6,64,Yes,Yes,8,11,Yes,Yes,3999
U084,97,8,90,Yes,Yes,9,18,No,Yes,1999
U085,59,5,71,Yes,No,12,10,Yes,Yes,2999
U086,21,7,63,No,Yes,32,9,Yes,No,2999
U087,74,3,75,Yes,No,35,12,Yes,Yes,3999
U088,63,7,77,No,No,13,5,Yes,Yes,2999
U089,14,3,72,Yes,Yes,33,5,Yes,No,1999
U090,66,7,63,No,Yes,18,17,Yes,No,2999
U091,26,8,73,Yes,No,26,19,Yes,Yes,3999
U092,56,2,51,Yes,No,15,15,No,Yes,4999
U093,32,2,94,No,Yes,27,10,Yes,Yes,3999
U094,88,1,75,No,No,5,14,Yes,Yes,3999
U095,96,9,94,No,Yes,25,18,Yes,No,3999
U096,95,9,94,Yes,Yes,30,17,Yes,Yes,3999
U097,75,2,52,No,No,27,9,Yes,Yes,3999
U098,84,4,96,Yes,No,5,5,No,Yes,1999
U099,60,4,72,No,Yes,19,11,No,Yes,1999
U100,47,1,95,Yes,Yes,25,5,No,No,3999
